dimensions,cpu times,gpu times
120,3.314018249511719e-06,0.000473332405090332
121,3.24249267578125e-06,0.0004489421844482422
122,3.3855438232421873e-06,0.0004555940628051758
123,2.9802322387695312e-06,0.00046088695526123045
124,3.0517578125e-06,0.00046503543853759766
125,3.361701965332031e-06,0.0004713773727416992
126,3.5047531127929686e-06,0.0004907369613647461
127,3.5524368286132813e-06,0.00048007965087890623
128,3.5762786865234375e-06,0.0004813909530639648
129,4.839897155761719e-06,0.00048511028289794923
130,3.5762786865234375e-06,0.0004997968673706055
131,4.816055297851562e-06,0.0005030155181884766
132,3.4809112548828124e-06,0.00048558712005615235
133,4.673004150390625e-06,0.000501251220703125
134,3.314018249511719e-06,0.0004920482635498047
135,3.910064697265625e-06,0.0004959821701049805
136,3.62396240234375e-06,0.00046987533569335936
137,3.6716461181640626e-06,0.00047883987426757815
138,3.886222839355469e-06,0.0004978179931640625
139,1.113414764404297e-05,0.0004778623580932617
140,4.148483276367187e-06,0.0004841804504394531
141,4.267692565917968e-06,0.00048615932464599607
142,4.9591064453125e-06,0.0005067825317382812
143,4.291534423828125e-06,0.0005067110061645508
144,4.57763671875e-06,0.000507974624633789
145,4.673004150390625e-06,0.000505518913269043
146,4.434585571289063e-06,0.0005331993103027344
147,3.957748413085938e-06,0.0005150079727172851
148,3.6716461181640626e-06,0.0005063533782958985
149,4.220008850097656e-06,0.0005086898803710937
150,4.172325134277344e-06,0.0005257368087768554
151,5.984306335449219e-06,0.0005031585693359375
152,4.315376281738282e-06,0.0005443334579467773
153,4.625320434570312e-06,0.0005038261413574218
154,4.220008850097656e-06,0.0005323886871337891
155,4.029273986816406e-06,0.0005018711090087891
156,4.148483276367187e-06,0.0005211353302001954
157,5.578994750976562e-06,0.000529336929321289
158,4.601478576660156e-06,0.0005565404891967774
159,4.673004150390625e-06,0.0005320072174072266
160,4.339218139648437e-06,0.0005508899688720703
161,1.2755393981933594e-05,0.0005641698837280274
162,1.5139579772949219e-05,0.00063323974609375
163,2.1052360534667968e-05,0.0006742238998413086
164,8.606910705566407e-06,0.000842142105102539
165,5.865097045898438e-06,0.000506448745727539
166,4.00543212890625e-06,0.00047149658203125
167,4.601478576660156e-06,0.0004819631576538086
168,4.076957702636719e-06,0.00047969818115234375
169,4.0531158447265625e-06,0.0004927635192871094
170,4.649162292480469e-06,0.000484919548034668
171,4.0531158447265625e-06,0.00048573017120361327
172,4.57763671875e-06,0.0004746198654174805
173,4.339218139648437e-06,0.00048015117645263674
174,4.220008850097656e-06,0.0004740238189697266
175,4.220008850097656e-06,0.0004796504974365234
176,4.673004150390625e-06,0.00048148632049560547
177,5.173683166503906e-06,0.00047957897186279297
178,4.57763671875e-06,0.00044713020324707033
179,5.269050598144532e-06,0.0004962444305419922
180,4.410743713378906e-06,0.0004881381988525391
181,4.434585571289063e-06,0.0004840373992919922
182,1.1014938354492188e-05,0.0004017353057861328
183,9.72747802734375e-06,0.0004080057144165039
184,1.0704994201660156e-05,0.0004347085952758789
185,1.1658668518066406e-05,0.0004067182540893555
186,1.0037422180175782e-05,0.00040898323059082033
187,1.0585784912109375e-05,0.00040559768676757814
188,1.0919570922851562e-05,0.00039823055267333983
189,1.018047332763672e-05,0.0004631519317626953
190,1.1014938354492188e-05,0.0003873109817504883
191,1.86920166015625e-05,0.0004029035568237305
192,1.7213821411132813e-05,0.00041429996490478517
193,1.1658668518066406e-05,0.0004181861877441406
194,1.0824203491210937e-05,0.0004032135009765625
195,9.393692016601562e-06,0.00041646957397460936
196,1.2230873107910156e-05,0.0004128694534301758
197,1.0633468627929688e-05,0.0004049062728881836
198,1.1730194091796876e-05,0.0004110097885131836
199,1.1348724365234375e-05,0.0004213809967041016
200,9.703636169433594e-06,0.00041832923889160154
201,9.250640869140624e-06,0.00040998458862304685
202,1.0061264038085938e-05,0.00040755271911621096
203,1.049041748046875e-05,0.0004110574722290039
204,1.049041748046875e-05,0.00040247440338134763
205,1.2159347534179688e-05,0.00042469501495361327
206,1.1491775512695313e-05,0.0004210948944091797
207,1.0752677917480469e-05,0.0004026174545288086
208,1.0609626770019531e-05,0.0004040241241455078
209,1.1467933654785157e-05,0.0004134178161621094
210,1.0848045349121094e-05,0.00041539669036865233
211,1.0538101196289063e-05,0.00041091442108154297
